1.2
"[7, 7, 0]"
"[8, 8, 0]"
"[5, 5, 0]"
"[18, 18, 0]"
"[9, 9, 0]"
"[2, 2, 0]"
"[10, 10, 0]"
"[12, 12, 0]"
"[1, 1, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[2, 2, 0]"
"[14, 14, 0]"
"[12, 12, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[2, 2, 0]"
"[2, 2, 0]"
"[7, 7, 0]"
"[7, 7, 0]"
"[16, 16, 0]"
"[1, 1, 0]"
"[5, 5, 0]"
"[26, 26, 0]"
"[24, 24, 0]"
"[5, 5, 0]"
"[1, 1, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[20, 20, 0]"
"[1, 1, 0]"
"[6, 6, 0]"
"[17, 17, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[2, 2, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[1, 1, 0]"
"[2, 2, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[5, 5, 0]"
"[9, 9, 0]"
"[3, 3, 0]"
"[8, 8, 0]"
"[11, 11, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[6, 6, 0]"
"[13, 13, 0]"
"[4, 4, 0]"
"[8, 8, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[14, 14, 0]"
"[9, 9, 0]"
"[10, 10, 0]"
"[15, 15, 0]"
"[8, 8, 0]"
"[2, 2, 0]"
"[3, 3, 0]"
"[8, 8, 0]"
"[4, 4, 0]"
"[1, 1, 0]"
"[6, 6, 0]"
"[6, 6, 0]"
"[6, 6, 0]"
"[9, 9, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[14, 14, 0]"
"[2, 2, 0]"
"[24, 24, 0]"
"[2, 2, 0]"
"[10, 10, 0]"
"[2, 2, 0]"
"[14, 14, 0]"
"[2, 2, 0]"
"[9, 9, 0]"
"[23, 23, 0]"
"[1, 1, 0]"
"[6, 6, 0]"
"[6, 6, 0]"
"[7, 7, 0]"
"[32, 32, 0]"
"[3, 3, 0]"
"[7, 7, 0]"
"[15, 15, 0]"
"[3, 3, 0]"
"[7, 7, 0]"
"[6, 6, 0]"
"[4, 4, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[12, 12, 0]"
"[14, 14, 0]"
"[2, 2, 0]"
"[2, 2, 0]"
"[6, 6, 0]"
"[6, 6, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[9, 9, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[2, 2, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[4, 4, 0]"
"[2, 2, 0]"
"[10, 10, 0]"
"[8, 8, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[5, 5, 0]"
"[2, 2, 0]"
"[4, 4, 0]"
"[2, 2, 0]"
"[10, 10, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[12, 12, 0]"
"[1, 1, 0]"
"[7, 7, 0]"
"[2, 2, 0]"
"[8, 8, 0]"
"[2, 2, 0]"
"[10, 10, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[7, 7, 0]"
"[4, 4, 0]"
"[2, 2, 0]"
"[6, 6, 0]"
"[8, 8, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[5, 5, 0]"
"[1, 1, 0]"
"[7, 7, 0]"
"[14, 14, 0]"
"[5, 5, 0]"
"[14, 14, 0]"
"[3, 3, 0]"
"[8, 8, 0]"
"[19, 19, 0]"
"[11, 11, 0]"
"[1, 1, 0]"
"[4, 4, 0]"
"[11, 11, 0]"
"[11, 11, 0]"
"[16, 16, 0]"
"[4, 4, 0]"
"[11, 11, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[17, 17, 0]"
"[13, 13, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[7, 7, 0]"
"[3, 3, 0]"
"[5, 5, 0]"
"[9, 9, 0]"
"[4, 4, 0]"
"[3, 3, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[8, 8, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[59, 59, 0]"
"[9, 9, 0]"
"[5, 5, 0]"
"[2, 2, 0]"
"[4, 4, 0]"
"[5, 5, 0]"
"[7, 7, 0]"
"[2, 2, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[21, 21, 0]"
"[2, 2, 0]"
"[24, 24, 0]"
"[24, 24, 0]"
"[6, 6, 0]"
"[8, 8, 0]"
"[23, 23, 0]"
"[3, 3, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[6, 6, 0]"
"[3, 3, 0]"
"[12, 12, 0]"
"[4, 4, 0]"
"[21, 21, 0]"
"[7, 7, 0]"
"[29, 29, 0]"
"[3, 3, 0]"
"[8, 8, 0]"
"[6, 6, 0]"
"[12, 12, 0]"
"[2, 2, 0]"
"[13, 13, 0]"
"[2, 2, 0]"
"[5, 5, 0]"
"[6, 6, 0]"
"[9, 9, 0]"
"[21, 21, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[1, 1, 0]"
"[1, 1, 0]"
"[13, 13, 0]"
"[5, 5, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[10, 10, 0]"
"[6, 6, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[8, 8, 0]"
"[3, 3, 0]"
"[18, 18, 0]"
"[4, 4, 0]"
"[4, 4, 0]"
"[11, 11, 0]"
"[6, 6, 0]"
"[3, 3, 0]"
"[11, 11, 0]"
"[2, 2, 0]"
"[8, 8, 0]"
"[5, 5, 0]"
"[8, 8, 0]"
"[8, 8, 0]"
"[6, 6, 0]"
